id`name`desc`sIcon`sAtlas
1`在线奖励`[a2794d]在线达到一定时间即可领取奖励[-]`fl (29)`mainAtlas
2`登录奖励`[a2794d]累计登录达到指定天数，有好礼相送[-]`fl (26)`mainAtlas
3`天天好礼`[a2794d]每天购买礼包即可获得对应档位的元宝，还可额外领取超值礼包，每个礼包每天限购一次[-]`fl (1)`mainAtlas
4`签到`[a2794d]每月签到都有丰厚的奖励[-]`fl (25)`mainAtlas
5`领地升级`[a2794d]领地升级拿豪礼，祝你成就千秋霸业[-]`fl (31)`mainAtlas
6`成长基金`[a2794d]投资[f94503]1000元宝[-]，回报[f94503]10000元宝[-]\n[f94503]vip3[-]可购买[-]`fl (34)`mainAtlas
7`豪华基金`[a2794d]投资[f94503]2000元宝[-]，回报[f94503]20000元宝[-]\n[f94503]vip6[-]可购买[-]`fl (35)`mainAtlas
8`至尊基金`[a2794d]投资[f94503]3000元宝[-]，回报[f94503]30000元宝[-]\n[f94503]vip10[-]可购买[-]`fl (36)`mainAtlas
9`消费返利`[a2794d]消耗元宝达到一定数量即可领取丰厚的回馈好礼[-]`fl (2)`mainAtlas
10`武将情义`[a2794d]得猛士兮守四方！收集到武将并升级，获取奖励[-]`fl (15)`mainAtlas
11`月卡团购`[a2794d]团购月卡达到指定数量免费领大奖\n团购数量: [f94503]{0}[-]`fl (14)`mainAtlas
12`吃包子`[a2794d]每天中午12~14点，晚上18~20点、21~24点可免费领取体力[-]`fl (23)`mainAtlas
13`兑换码`[a2794d]请在输入框输入兑换码，领取奖励[-]`fl (13)`mainAtlas
14`累充好礼`[a2794d]累计充值达到一定的额度，即可领取奖励[-]`Icon_0014_Layer-1`actAtlas
