id`manorLevel`endPos`midPos`startPos
10101`1`-291|-110|0`-17|-110|0`14|44|0
10102`1`-97|-33|0`-51|-29|0`56|-46|0
10103`1`54|-86|0`22|-109|0`309|-109|0
10104`1`55|-48|0`-47|-113|0`-313|-102|0
10201`2`-95|-34|0`-53|-26|0`55|-46|0
10202`2`307|-104|0`6|-104|0`6|50|0
10203`2`-237|-130|0`-23|-153|0`6|50|0
10204`2`-58|-90|0`-87|-158|0`-243|-123|0
10205`2`8|53|0`16|-25|0`-6|-25|0
10206`2`56|-46|0`-46|-29|0`-93|-35|0
10301`3`15|-54|0`15|-106|0`312|-106|0
10302`3`15|62|0``15|5|0
10303`3`15|5|0``15|62|0
10304`3`312|-106|0`15|-106|0`15|-54|0
10305`3`-1|-58|0`-25|-143|0`-144|-155|0
10306`3`-144|-155|0`-25|-143|0`-1|-58|0
10307`3`316|-106|0`76|-100|0`-42|-86|0
10308`3`-42|-86|0`76|-100|0`316|-106|0
10309`3`319|-106|0`173|-106|0`154|-84|0
10310`3`154|-84|0`173|-106|0`319|-106|0
10401`4`16|-43|0`-27|-175|0`-297|-120|0
10402`4`-297|-120|0`-27|-175|0`25|-43|0
10403`4`-309|-94|0`-221|-14|0`-284|11|0
10404`4`-284|11|0`-221|-14|0`-309|-94|0
10405`4`10|-40|0`17|-116|0`309|-116|0
10406`4`309|-116|0`17|-116|0`10|-40|0
10407`4`5|23|0``5|45|0
10408`4`5|45|0``5|23|0
10409`4`309|-119|0``-69|-119|0
10410`4`-69|-119|0``309|-119|0
10411`4`-310|-116|0`-104|-166|0`36|-80|0
10412`4`36|-80|0`-104|-166|0`-310|-116|0
10501`5`-314|-96|0`-229|-12|0`-278|10|0
10502`5`-278|10|0`-229|-12|0`-314|-96|0
10503`5`255|-123|0`29|-117|0`17|-39|0
10504`5`17|-39|0`29|-117|0`255|-123|0
10505`5`17|-40|0`-42|-169|0`-224|-147|0
10506`5`-224|-147|0`-42|-169|0`17|-40|0
10507`5`16|28|0``16|56|0
10508`5`16|56|0``16|28|0
10509`5`15|23|0`17|46|0`103|46|0
10510`5`103|46|0`17|46|0`15|23|0
10511`5`249|-122|0`41|-117|0`-62|-89|0
10512`5`-62|-89|0`41|-117|0`249|-122|0
10513`5`99|48|0`28|46|0`-12|30|0
10514`5`-12|30|0`28|46|0`99|48|0
10601`6`-314|-96|0`-229|-12|0`-278|10|0
10602`6`-278|10|0`-229|-12|0`-314|-96|0
10603`6`255|-123|0`29|-117|0`17|-39|0
10604`6`17|-39|0`29|-117|0`255|-123|0
10605`6`17|-40|0`-42|-169|0`-224|-147|0
10606`6`-224|-147|0`-42|-169|0`17|-40|0
10607`6`16|28|0``16|56|0
10608`6`16|56|0``16|28|0
10609`6`15|23|0`17|46|0`103|46|0
10610`6`103|46|0`17|46|0`15|23|0
10611`6`249|-122|0`41|-117|0`-16|-102|0
10612`6`-16|-102|0`41|-117|0`249|-122|0
10613`6`99|48|0`28|46|0`-12|30|0
10614`6`-12|30|0`28|46|0`99|48|0
10701`7`-4|-40|0`91|-141|0`251|-139|0
10702`7`251|-139|0`91|-141|0`-4|-40|0
10703`7`13|22|0``13|56|0
10704`7`13|56|0``13|22|0
10705`7`-211|17|0``-311|-102|0
10706`7`-311|-102|0``-211|17|0
10707`7`20|-49|0`-92|-142|0`-235|-141|0
10708`7`-235|-141|0`-92|-142|0`20|-49|0
10709`7`256|-132|0`-57|-169|0`-60|-79|0
10710`7`-60|-79|0`-57|-169|0`256|-132|0
10711`7`0|-48|0``163|-225|0
10712`7`163|-225|0``0|-48|0
10713`7`18|55|0`13|22|0`-15|23|0
10714`7`-15|23|0`13|22|0`18|55|0
10801`8`-4|-40|0`91|-141|0`251|-139|0
10802`8`251|-139|0`91|-141|0`-4|-40|0
10803`8`13|22|0``13|56|0
10804`8`13|56|0``13|22|0
10805`8`-211|17|0``-311|-102|0
10806`8`-311|-102|0``-211|17|0
10807`8`20|-49|0`-92|-142|0`-235|-141|0
10808`8`-235|-141|0`-92|-142|0`20|-49|0
10809`8`256|-132|0`-57|-169|0`-60|-79|0
10810`8`-60|-79|0`-57|-169|0`256|-132|0
10811`8`0|-48|0``163|-225|0
10812`8`163|-225|0``0|-48|0
10813`8`18|55|0`13|22|0`-15|23|0
10814`8`-15|23|0`13|22|0`18|55|0
10815`8`-33|50|0``-172|67|0
10816`8`-172|67|0``-33|50|0
10817`8`-62|-199|0`-55|-86|0`-83|-19|0
10818`8`-83|-19|0`-55|-86|0`-62|-199|0
10819`8`244|-136|0`5|-169|0`-230|-124|0
10820`8`-230|-124|0`5|-169|0`244|-136|0
10821`8`-309|-99|0`-254|-40|0`-266|-35|0
10822`8`-266|-35|0`-254|-40|0`-309|-99|0
10901`9`-236|-138|0`-83|-140|0`10|-45|0
10902`9`10|-45|0`-83|-140|0`-236|-138|0
10903`9`-54|-189|0``-75|-25|0
10904`9`-75|-25|0``-54|-189|0
10905`9`5|22|0``5|58|0
10906`9`5|58|0``5|22|0
10907`9`-277|-65|0`-176|67|0`-34|46|0
10908`9`-34|46|0`-176|67|0`-277|-65|0
10909`9`140|-193|0`-217|-129|0`-252|40|0
10910`9`-252|40|0`-217|-129|0`140|-193|0
10911`9`-234|-141|0`78|-170|0`138|-211|0
10912`9`138|-211|0`78|-170|0`-234|-141|0
10913`9`243|-129|0`115|-130|0`3|-57|0
10914`9`3|-57|0`115|-130|0`243|-129|0
10915`9`-125|58|0`4|45|0`5|57|0
10916`9`5|57|0`4|45|0`-125|58|0
10917`9`-44|-190|0`-78|-21|0`-147|-13|0
10918`9`-147|-13|0`-78|-21|0`-44|-190|0
10919`9`-229|-128|0`-126|-132|0`-127|-119|0
10920`9`-127|-119|0`-126|-132|0`-229|-128|0
10921`9`156|-200|0`-64|-157|0`-127|-119|0
10922`9`-127|-119|0`-64|-157|0`156|-200|0
11501`15`-241|-76|0`-287|-118|0`-264|-189|0
11502`15`11|82|0``3|27|0
11503`15`10|-48|0`123|-134|0`-18|-200|0
11504`15`-90|-88|0``-8|-208|0
11505`15`-180|-161|0`-87|-132|0`-22|-52|0
11506`15`13|27|0``14|81|0
11507`15`-215|-205|0``-301|-117|0
11508`15`37|-202|0`-92|-144|0`-166|-146|0
11509`15`2|-221|0`81|-155|0`130|-211|0
11510`15`214|-73|0`200|-113|0`299|-187|0
11511`15`90|-79|0``-88|-86|0
11512`15`-73|-173|0``118|-155|0
11513`15`95|-78|0`11|-86|0`11|-45|0
11401`14`-241|-76|0`-287|-118|0`-264|-189|0
11402`14`11|72|0``3|27|0
11403`14`10|-48|0`123|-134|0`-18|-200|0
11404`14`-90|-88|0``-8|-208|0
11405`14`-180|-161|0`-87|-132|0`-22|-52|0
11406`14`13|27|0``14|71|0
11407`14`-215|-205|0``-301|-117|0
11408`14`37|-202|0`-92|-144|0`-166|-146|0
11409`14`2|-221|0`81|-155|0`130|-211|0
11410`14`214|-73|0`200|-113|0`299|-187|0
11411`14`90|-79|0``-88|-86|0
11412`14`-73|-173|0``118|-155|0
11413`14`95|-78|0`11|-86|0`11|-45|0
11301`13`-241|-76|0`-287|-118|0`-264|-189|0
11302`13`11|72|0``3|27|0
11303`13`10|-48|0`123|-134|0`-18|-200|0
11304`13`-90|-88|0``-8|-208|0
11305`13`-180|-161|0`-87|-132|0`-22|-52|0
11306`13`13|27|0``14|71|0
11307`13`-215|-205|0``-301|-117|0
11308`13`37|-202|0`-92|-144|0`-166|-146|0
11309`13`2|-221|0`81|-155|0`130|-211|0
11310`13`-20|-199|0`121|-118|0`296|-151|0
11311`13`90|-79|0``-88|-86|0
11312`13`-73|-173|0``118|-155|0
11313`13`95|-78|0`11|-86|0`11|-45|0
11201`12`21|-38|0`-75|-123|0`-230|-181|0
11202`12`11|72|0``3|27|0
11203`12`10|-48|0`113|-134|0`52|-216|0
11204`12`-123|-117|0``-28|-192|0
11205`12`-180|-161|0`-87|-132|0`-22|-52|0
11206`12`13|27|0``14|71|0
11207`12`-215|-205|0``-301|-117|0
11208`12`-289|-145|0`-130|-173|0`18|-39|0
11209`12`16|-184|0`116|-126|0`303|-138|0
11210`12`-69|-75|0`242|-114|0`299|-187|0
11211`12`90|-79|0``-88|-86|0
11212`12`-73|-173|0``118|-155|0
11213`12`95|-78|0`11|-86|0`11|-45|0
11101`11`21|-38|0`-75|-123|0`-230|-181|0
11102`11`11|72|0``3|27|0
11103`11`10|-48|0`113|-134|0`52|-216|0
11104`11`-123|-117|0``-28|-192|0
11105`11`-180|-161|0`-87|-132|0`-22|-52|0
11106`11`13|27|0``14|71|0
11107`11`-215|-205|0``-301|-117|0
11109`11`16|-184|0`116|-126|0`303|-138|0
11110`11`-69|-75|0`242|-114|0`299|-187|0
11111`11`90|-79|0``-88|-86|0
11112`11`-73|-173|0``118|-155|0
11113`11`95|-78|0`11|-86|0`11|-45|0
11114`11`5|-43|0`-99|-154|0`-295|-119|0
11015`10`-252|-45|0``-219|-178|0
11001`10`21|-38|0`-75|-123|0`-230|-181|0
11002`10`11|72|0``3|20|0
11003`10`10|-48|0`113|-134|0`52|-216|0
11004`10`-123|-117|0``-28|-192|0
11005`10`-180|-161|0`-87|-132|0`-22|-52|0
11006`10`13|20|0``14|71|0
11007`10`-215|-205|0``-301|-117|0
11009`10`16|-184|0`116|-126|0`303|-138|0
11010`10`-69|-75|0`242|-114|0`299|-187|0
11011`10`90|-79|0``-88|-86|0
11012`10`-73|-173|0``118|-155|0
11013`10`95|-78|0`11|-86|0`11|-45|0
11014`10`-252|-45|0``-219|-178|0
